experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765620460044","E","1","4099","1541","31619","","","0","0","false","false","false","Sat Dec 13 2025 20:46:29 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","4183","3543","30794","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:48:11 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","2","1963","557","8451","","","0","0","false","false","false","Sat Dec 13 2025 20:49:31 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","4119","3424","38629","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:49:12 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4082","1202","10943","","","0","0","false","false","false","Sat Dec 13 2025 20:49:23 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","3445","2272","44930","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:49:37 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4081","1080","15461","","","0","0","false","false","false","Sat Dec 13 2025 20:49:52 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","3317","2132","27047","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:49:58 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4141","1221","11607","","","0","0","false","false","false","Sat Dec 13 2025 20:50:56 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","2","2348","606","5757","","","0","0","false","false","false","Sat Dec 13 2025 20:51:02 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4116","6466","37353","","","0","0","false","false","false","Sat Dec 13 2025 20:51:03 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1482","958","5862","","","0","0","false","false","false","Sat Dec 13 2025 19:08:33 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4082","1173","10465","","","0","0","false","false","false","Sat Dec 13 2025 19:10:05 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2300","1302","8568","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:10:17 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1524","880","4893","","","0","0","false","false","false","Sat Dec 13 2025 19:10:31 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4067","1119","9181","","","0","0","false","false","false","Sat Dec 13 2025 19:10:26 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1533","944","5221","","","0","0","false","false","false","Sat Dec 13 2025 19:08:35 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2307","1343","6394","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:08:39 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4140","1165","10181","","","0","0","false","false","false","Sat Dec 13 2025 19:10:47 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1845","1058","7533","","","0","0","false","false","false","Sat Dec 13 2025 19:10:55 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1676","1212","7177","","","0","0","false","false","false","Sat Dec 13 2025 19:11:01 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2390","1216","6741","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:08:41 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4074","1130","8212","","","0","0","false","false","false","Sat Dec 13 2025 19:08:48 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4073","1193","9900","","","0","0","false","false","false","Sat Dec 13 2025 19:08:51 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1500","857","5101","","","0","0","false","false","false","Sat Dec 13 2025 19:08:53 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1640","882","4746","","","0","0","false","false","false","Sat Dec 13 2025 19:08:56 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2342","1115","6433","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:08:59 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2544","1749","11030","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:09:07 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4078","1105","8609","","","0","0","false","false","false","Sat Dec 13 2025 19:09:08 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1687","868","6840","","","0","0","false","false","false","Sat Dec 13 2025 19:09:15 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4069","1193","8781","","","0","0","false","false","false","Sat Dec 13 2025 19:09:16 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1803","1033","5401","","","0","0","false","false","false","Sat Dec 13 2025 19:09:21 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2978","1818","11161","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:09:26 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2800","1988","10392","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:09:32 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4062","1088","9185","","","0","0","false","false","false","Sat Dec 13 2025 19:09:35 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4061","1064","7890","","","0","0","false","false","false","Sat Dec 13 2025 19:09:40 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1440","866","5657","","","0","0","false","false","false","Sat Dec 13 2025 19:09:41 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1444","1058","6194","","","0","0","false","false","false","Sat Dec 13 2025 19:09:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2735","1151","6666","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:11:08 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4057","1078","8365","","","0","0","false","false","false","Sat Dec 13 2025 19:11:16 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2580","1564","8598","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:11:30 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","4599","3021","37433","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:51:40 GMT+0900 (Japan Standard Time)"
